[Sun Oct 30 22:39:19.759272 2022] [php:error] [pid 18801] [client 192.168.199.11:59822] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 32768 bytes) in /srv/users/nuxpxrad/zxupaky-m3/storage/framework/views/0844c90a5499874f0b1f6469011bd43bb4d1c63f.php on line 1, referer: http://zxupaky-m3.wsr.ru/studentslist
[Sun Oct 30 22:39:19.761431 2022] [php:error] [pid 18801] [client 192.168.199.11:59822] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 94208 bytes) in /srv/users/nuxpxrad/zxupaky-m3/vendor/composer/ClassLoader.php on line 444, referer: http://zxupaky-m3.wsr.ru/studentslist
[Sun Oct 30 22:39:21.104452 2022] [php:error] [pid 18808] [client 192.168.199.11:38412] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 32768 bytes) in /srv/users/nuxpxrad/zxupaky-m3/storage/framework/views/0844c90a5499874f0b1f6469011bd43bb4d1c63f.php on line 1, referer: http://zxupaky-m3.wsr.ru/studentslist
[Sun Oct 30 22:39:21.107438 2022] [php:error] [pid 18808] [client 192.168.199.11:38412] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /srv/users/nuxpxrad/zxupaky-m3/vendor/monolog/monolog/src/Monolog/Formatter/LineFormatter.php on line 24, referer: http://zxupaky-m3.wsr.ru/studentslist
[Sun Oct 30 22:39:21.370831 2022] [php:error] [pid 18811] [client 192.168.199.11:54543] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 32768 bytes) in /srv/users/nuxpxrad/zxupaky-m3/storage/framework/views/0844c90a5499874f0b1f6469011bd43bb4d1c63f.php on line 1, referer: http://zxupaky-m3.wsr.ru/studentslist
[Sun Oct 30 22:39:21.373436 2022] [php:error] [pid 18811] [client 192.168.199.11:54543] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /srv/users/nuxpxrad/zxupaky-m3/vendor/monolog/monolog/src/Monolog/Formatter/LineFormatter.php on line 24, referer: http://zxupaky-m3.wsr.ru/studentslist
[Sun Oct 30 22:39:21.610592 2022] [php:error] [pid 18813] [client 192.168.199.11:43581] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 32768 bytes) in /srv/users/nuxpxrad/zxupaky-m3/storage/framework/views/0844c90a5499874f0b1f6469011bd43bb4d1c63f.php on line 1, referer: http://zxupaky-m3.wsr.ru/studentslist
[Sun Oct 30 22:39:21.612328 2022] [php:error] [pid 18813] [client 192.168.199.11:43581] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /srv/users/nuxpxrad/zxupaky-m3/vendor/monolog/monolog/src/Monolog/Formatter/LineFormatter.php on line 24, referer: http://zxupaky-m3.wsr.ru/studentslist
[Sun Oct 30 22:39:24.935121 2022] [php:error] [pid 18836] [client 192.168.199.11:60863] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 16384 bytes) in /srv/users/nuxpxrad/zxupaky-m3/vendor/laravel/framework/src/Illuminate/Database/Connection.php on line 418, referer: http://zxupaky-m3.wsr.ru/admin
[Sun Oct 30 22:39:24.936081 2022] [php:error] [pid 18836] [client 192.168.199.11:60863] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 32768 bytes) in /srv/users/nuxpxrad/zxupaky-m3/vendor/laravel/framework/src/Illuminate/Database/QueryException.php on line 1, referer: http://zxupaky-m3.wsr.ru/admin
[Mon Oct 31 00:05:40.451708 2022] [php:error] [pid 45282] [client 192.168.199.11:50261] PHP Fatal error:  Cannot use [] for reading in /srv/users/nuxpxrad/zxupaky-m3/storage/framework/views/d222bf57ab7a6386e441a79575c2e4fdb4509b43.php on line 35, referer: http://zxupaky-m3.wsr.ru/admin
[Mon Oct 31 00:05:45.309602 2022] [php:error] [pid 45308] [client 192.168.199.11:49852] PHP Fatal error:  Cannot use [] for reading in /srv/users/nuxpxrad/zxupaky-m3/storage/framework/views/d222bf57ab7a6386e441a79575c2e4fdb4509b43.php on line 35, referer: http://zxupaky-m3.wsr.ru/admin
[Mon Oct 31 00:05:51.022869 2022] [php:error] [pid 45337] [client 192.168.199.11:53173] PHP Fatal error:  Cannot use [] for reading in /srv/users/nuxpxrad/zxupaky-m3/storage/framework/views/d222bf57ab7a6386e441a79575c2e4fdb4509b43.php on line 35, referer: http://zxupaky-m3.wsr.ru/admin
[Mon Oct 31 00:05:52.375847 2022] [php:error] [pid 45342] [client 192.168.199.11:48112] PHP Fatal error:  Cannot use [] for reading in /srv/users/nuxpxrad/zxupaky-m3/storage/framework/views/d222bf57ab7a6386e441a79575c2e4fdb4509b43.php on line 35, referer: http://zxupaky-m3.wsr.ru/admin
